##########################################################################################################################################################
# msr/original/MSRvid.train.txt - 750
##########################################################################################################################################################
a man is riding a bicycle.	a man is riding a bike.	y
a woman and man are dancing in the rain.	a man and woman are dancing in rain.	y
someone is drawing.	someone is dancing.	n
a man and a woman are kissing each other.	a man and a woman are talking to each other.	n
a woman is slicing an onion.	a woman is cutting an onion.	y
a person is peeling shrimp.	a person is preparing shrimp.	y
a woman is cutting broccoli.	a woman is slicing broccoli.	y
a man is playing a guitar.	a woman is playing the guitar.	y
two men are fistfighting in a ring.	two men fistfight in a ring.	y
a small boy is playing with a dog.	a baby is playing with a dog.	y
the man is drawing.	a man is drawing.	y
a man is cutting a potato.	a woman is cutting a tomato.	n
a small dog laying on the bed.	a small dog is laying on a bed.	y
a person wipes butter on a tray.	a person is buttering a tray.	y
two men are playing football.	two men are practicing football.	y
the man is playing the guitar.	the girl is playing the guitar.	n
the man is slicing a potato.	a man is slicing potato.	y
a boy is playing a guitar.	a kid is playing a guitar.	y
the man is slicing a potato.	a man is slicing potato.	y
a man is peeling a potato.	a man is slicing a potato.	y
a woman is stabbing a potato with a fork.	a woman is puncturing a potato with a fork.	y
a child is waking up.	a girl is waking up.	y
a boy is playing a key-board.	a little boy is playing a keyboard.	y
a woman is cutting an onion.	a woman is cutting through an onion.	y
a toy train is striking a toy car.	a toy train strikes a toy car.	y
a man is playing the guitar.	a man is playing the flute.	n
a cat opens a drawer and climbs inside.	a cat is opening a drawer and climbing inside.	y
a woman is frying a food.	a woman is deep frying food.	y
a woman plays the flute.	a woman is playing the flute.	y
a man is dicing an onion.	a woman is cutting an onion.	n
a girl is playing a guitar.	a man is playing a guitar.	y
a girl is singing on stage.	a man is singing on stage.	y
a woman is riding a horse.	a woman is riding a donkey.	y
a girl is playing a guitar.	a man is playing a guitar.	y
a woman is brushing some shrimp.	a woman brushes some shrimp.	y
a man is dancing on the ceiling.	a man is dancing on the ceiling of a room.	y
a woman is playing an electric guitar.	a man is playing an acoustic guitar.	n
a woman thinly slices an onion with a large knife.	a woman is slicing onions with a large knife.	y
a man is playing a keyboard.	a man plays a keyboard.	y
a man plays the guitar.	a man is playing the guitar.	y
a woman is peeling a potato.	a woman peels a potato.	y
a woman is handling a frog.	a man is holding a frog.	y
a person is peeling shrimp.	a man is peeling shrimp.	y
a man is playing a flute.	a man is playing a guitar.	n
a man is playing a flute.	a man is playing a guitar.	n
a man is playing a guitar.	a man is playing a flute.	n
a man is playing a piano.	a man is playing a guitar.	n
a man is playing a guitar.	a man is playing a piano.	n
a man is playing a flute.	a man is playing a guitar.	n
a man is playing a flute.	a man is playing a guitar.	n
two women are on a couch.	two women are hugging on a couch.	y
someone is slicing a cucumber.	a man is slicing a cucumber.	y
a kitten is playing with a blue rope toy.	a kitten is playing with a toy.	y
a group of people are sweeping water out of a house.	people are sweeping water out of a house.	y
the dog is barking at the toy.	a dog is barking at a toy.	y
a person folds a tortilla.	a man folds a tortilla.	y
a cat is drinking milk.	a kitten is drinking milk.	y
a person is driving a car.	a man is driving a car.	y
a turtle is walking.	a tortoise is walking.	y
a cow is eating grass.	a cow is eating hay.	y
a woman is chopping broccoli.	a woman is chopping garlic.	y
a man is crying.	a man is screaming.	y
a woman is putting on sun glasses.	a woman puts on sunglasses.	y
the man is playing the guitar.	a man is playing guitar.	y
a man is cutting an onion.	a man is cutting a plantain.	y
a man is slicing a potato.	a woman is peeling a potato.	n
a woman is slicing a potato.	a woman is slicing carrot.	n
a man plays a guitar.	a man is playing a guitar.	y
women are running.	two women are running.	y
a woman is tapping her fingers on a table.	a woman is tapping her fingers.	y
someone is boiling okra in a pot.	someone is cooking okra in a pan.	y
a man is smoking.	a man is mixing.	n
the man is playing the drums.	a man is playing drums.	y
a man dives into a pool.	a man is diving into a pool.	y
a woman is cutting a leak.	a woman is slicing a leek.	y
a man is playing a harp.	a woman is playing a guitar.	n
a man dives into a pool.	a man dives into a swimming pool.	y
a little boy is playing a guitar.	a boy is playing guitar.	y
the man is smashing garlic.	a man is smashing some garlic.	y
a man is cutting up a potato.	a man is cutting up carrots.	n
a woman is dancing.	the man is dancing.	y
women are talking.	the men are talking.	y
a girl is putting gel in her hair.	a woman is putting gel on her hair.	y
a kid is playing guitar.	a man is playing a guitar.	n
a group of people are marching in place.	a group of people are dancing in concert.	n
a man and a woman is kissing each other.	a man and a woman are hugging and kissing each other.	y
the woman is shooting a machine gun.	the man is shooting a gun.	n
a man played the piano.	a man plays a piano.	y
a woman is slicing an onion.	someone is slicing a onion.	y
a man is slicing a cucumber.	a man is cutting cucumbers.	y
a girl is eating a cupcake.	a woman is eating a cupcake.	y
a woman is cutting an onion.	a man is chopping an onion.	n
the man is playing a guitar.	a baby is playing a guitar.	n
a man is playing the guitar.	a man is playing the drums.	n
two little girls talk on the telephone.	two girls talk on the phone.	y
a man is chopping a log with an axe.	a man is chopping a tree trunk with an axe.	y
a woman is climbing a cliff.	a woman is climbing a rock face.	y
a man is slicing an onion.	a man slices an onion.	y
a polar bear is running towards a group of walruses.	a polar bear is chasing a group of walruses.	y
a person is cutting a capsicum into pieces.	a person is slicing a garlic into pieces.	n
a man is talking with a woman.	a woman is walking with a dog.	n
the man is walking.	a man is talking.	n
someone is pouring oil into a skillet.	someone is pouring milk into a blender.	n
a small kitten is playing a ball.	a kitten is playing with a ball.	y
a man is playing a guitar.	a woman is playing a flute.	n
a woman is cutting some fish.	a woman is cutting tofu.	n
a girl is playing a violin.	a girl is playing a flute.	y
someone is playing a piano.	someone is playing guitar.	n
a man is playing two pianos.	a cat is playing a piano.	n
a man is exercising.	a girl is exercising.	y
a person is slicing a scallop.	a person is slicing octopus.	n
a man and a woman are riding on their bicycles.	a man and woman are riding a motorcycle.	n
a man is pouring rice a roni into a pan.	a man poured ric-a-roni into a pan.	y
two men are fighting in a cow pasture.	two men are fighting in a cattle pen.	y
a woman is adding oil to a pan.	a man is pouring oil into a pan.	y
a girl makes up her bed.	a young girl makes her bed.	y
the cat played with a watermelon.	a cat is playing with a watermelon.	y
a girl jumps on a car.	a girl is jumping onto a car.	y
a man is breaking wooden boards with his hand.	a man is breaking tiles with his hands.	n
a girl is playing guitar.	a girl is playing a piano.	n
a man is praying.	a man is dancing.	n
a man is praying.	a man is running.	n
a car is parking.	a cat is playing.	n
a man is running.	a man is dancing.	n
a man is dancing.	a man is singing.	n
a man is running.	a man is singing.	n
a man is singing.	a man is dancing.	n
a man is carrying another man over his shoulder.	a man is carrying someone on his shoulder.	y
a woman is peeling a potato.	a woman is slicing a tomato.	n
a woman is cutting a tomato.	a woman is slicing a potato.	n
someone is peeling a potato.	someone is slicing a tomato.	n
a woman is peeling a potato.	a woman is slicing a tomato.	n
two robots kiss.	two robots are kissing.	y
two boys on a couch are playing video games.	two boys are playing a video game.	y
the man is hiking in the woods.	a man is tracking in the wood.	y
a woman is squeezing a lemon.	a woman is squeezing juice out of a lemon.	y
a man is playing piano.	a man is playing a violin.	n
a man is playing a flute.	a man is playing guitar.	n
a man is riding a bike.	a woman is riding a horse.	n
a woman is slicing an onion.	a man is slicing a tomato.	n
a woman is slicing a carrot.	a man is slicing a tomato.	n
a woman is slicing an onion.	a woman is slicing lemons.	n
a girl is styling her hair.	a girl is filing her nails.	n
a man walking down the stairs.	a man walks down a staircase.	y
a man is riding a horse by a creek.	a man is riding a horse.	y
a woman is playing the guitar.	a person is playing a guitar.	y
a man is playing a guitar.	a man is playing a guitar and singing.	y
two people are riding a motorcycle.	two people are riding a bike.	n
a man is playing a guitar.	a woman is playing an electric guitar.	n
a man is playing a guitar and singing.	a man is playing a guitar.	y
a man is walking in the rain.	a man and woman is walking in the grand.	n
a kangaroo is eating.	kangaroo eating.	y
a man is fishing.	a man is exercising.	n
a woman is swimming.	a man is singing.	n
a woman is eating.	a animal is eating.	n
a boy and a girl is dancing in the rain.	a man and woman is dancing in the rain.	y
a man is driving a car.	a man drives a car.	y
a woman is grating onion.	a woman grates onions.	y
two roosters are fighting.	two men are fighting.	n
a man is riding a horse.	a man is driving a car.	n
a man is riding a horse.	a man is driving a car.	n
a man is eating a pizza.	a man is eating a food.	y
a man is shooting a gun.	a man is slicing a bun.	n
a man is picking up a tree.	a man is carrying a tree.	y
a woman is cutting an onion.	a woman is cutting meat.	n
the woman is slicing herbs.	the man is slicing bread.	n
a boy is playing the piano.	a man is playing a piano.	y
a baby elephant is eating.	a baby elephant eats a sapling.	y
a person is peeling a potato.	the man is peeling a potato.	y
a person is playing a piano.	a person is slicing a potato.	n
a woman is cracking eggs into a bowl.	a woman is cracking eggs.	y
a person is playing the keyboard.	a boy is playing a key-board.	y
a boy whacks a man with a sword.	a boy spanks a man with a plastic sword.	y
a person is slicing a carrot into pieces.	a person is cutting an onion into pieces.	n
a man sliced through a bunch of water bottles with a knife.	a man is slicing a line of water bottles with a knife	y
a man is playing guitar.	a man plays a guitar.	y
a man is writing in a book.	a man is writing on a paper.	y
a man is spitting.	a man is talking.	n
a man is playing a musical keyboard.	a man is playing a keyboard piano.	y
a woman is slicing a garlic.	a woman is slicing a big pepper.	n
a person is making a bed.	a person is eating at a table.	n
the man is buttering the bread.	the man is stirring the rice.	n
a woman is hitting a man.	a woman is taking a bath.	n
a man is playing keyboard.	a man is playing guitar.	n
a man is playing a violin.	a man is playing a harp.	n
three men are dancing.	women are dancing.	n
a man is speaking.	a man is dancing.	n
a man is dancing.	a man is speaking.	n
the woman is smoking.	the man is walking.	n
a man is dancing.	a man is thinking.	n
the man erased what the other man had on the board.	the man erased the work on the board.	y
a man is riding a motorcycle.	a man is riding a motorcycle through a town.	y
a man is riding a motorcycle on the highway.	a man is riding a motorcycle.	y
a woman is slicing up some meat.	a woman is slicing some onions.	n
a person is combing a cat hair.	a person is brushing a cat.	y
a woman cuts up broccoli.	a woman is cutting broccoli.	y
a man is playing a piano.	a woman is peeling a potato.	n
someone is slicing a tomato.	someone is slicing fruit.	y
a woman is dancing in a cage.	a woman is dancing.	y
a woman is swimming.	a man is spitting.	n
a man is running.	a man is mooing.	n
the man is playing the guitar.	the man played his guitar.	y
a cat stares into the camera.	a cat addresses the camera.	y
the baby is laughing and crawling.	a baby is laughing and crawling on the floor.	y
a man plays a trumpet.	a man is playing the trumpet.	y
a woman is shooting a gun.	a woman shoots a shotgun.	y
a man is playing the drums.	a man is playing guitar.	n
a woman is dancing in the rain.	a woman is dancing in railway station.	n
a woman is riding a horse.	a man rides a horse.	y
a woman is dancing.	a woman is exercising.	n
a kid is playing an instrument.	a young boy is playing a wind instrument.	y
someone slices a bottle with a sword.	a man breaks a bottle with a sword.	y
a man is peeling a banana.	a woman is peeling a potato.	n
a woman is cutting an apple.	a woman is cutting potato.	n
the man is peeling an apple.	a man peels an apple.	y
a boy is riding a horse.	a monkey is riding a bus.	n
the puppy tried to get out of the tub.	a puppy is trying to get out of a bathtub.	y
the man is playing the guitar.	the man is playing with a skull.	n
an animal is walking on the ground.	a solenodon is walking along the ground.	y
a band is playing on stage.	a woman is dancing on a stage.	n
a woman is playing a guitar and singing.	a woman is playing the guitar.	y
a little girl is playing a grand piano on stage.	a little girl is playing the piano.	y
the man is eating.	a man is eating food.	y
a group of people dancing	a group of men are dancing.	y
a man plays a guitar.	a woman is playing guitar.	n
a little boy hits a golf ball.	the little boy swung at the golf ball.	y
a cat swings on a ceiling fan.	a cat is spun around by a ceiling fan.	y
a guy is taking off his sunglasses.	a boy is removing his sunglasses.	y
someone is reading an email.	a man is reading his email.	y
a woman is playing the flute.	a girl is playing a flute.	y
the woman is dicing onions.	a woman is cutting an onion.	y
a monkey is brushing a bull dog.	a monkey brushes a dog.	y
a person is slicing onions.	someone is slicing an onion.	y
a woman is slicing a onion.	a woman is cutting a potato.	n
a man is playing the piano.	a woman is playing a guitar.	n
a woman is washing her hands.	a woman is straightening her hair.	n
a woman fires a shotgun.	a woman is shooting a gun.	y
